SurveyID,Date,Location,Unit,Species,Number,MinFL,MaxFL,Depth,FishDepth,HUCsubstrate,HUCcover,HUCunit,Velocity,BankDistance,AvgFL,Ocov
13,1999-06-25,BEDROCK PARK,52,RBTS,1,70,70,0.34999999,0.2,3,A,G,1.34,NA,70,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,60,65,0.31999999,0.25,3,A,G,1.57,NA,62,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,100,100,0.25999999,0.25,3,A,R,2.32,NA,100,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,80,85,0.51999998,0.40000001,3,A,G,1.25,NA,82,0
13,1999-06-25,BEDROCK PARK,50,RBTS,1,65,65,0.25999999,0.23999999,3,a,R,1.29,NA,65,1
13,1999-06-25,BEDROCK PARK,50,RBTS,8,50,65,0.25,0.20999999,2,A,G,1.16,NA,58,0
13,1999-06-25,BEDROCK PARK,50,RBTS,1,60,60,0.44,0.38999999,3,a,G,0.45,NA,60,1
13,1999-06-25,BEDROCK PARK,50,RBTS,3,40,45,0.2,0.17,1,a,GM,0,NA,42,1
13,1999-06-25,BEDROCK PARK,50,RBTS,1,65,65,0.37,0.31999999,3,a,GM,0.5,NA,65,1
13,1999-06-25,BEDROCK PARK,54,RBTS,1,60,60,0.27000001,0.22,2,A,G,0.85,NA,60,0
13,1999-06-25,BEDROCK PARK,54,RBTS,1,55,55,0.20999999,0.16,3,A,RM,0,NA,55,0
13,1999-06-25,BEDROCK PARK,56,RBTS,1,105,105,0.38,0.34999999,3,A,R,3.16,NA,105,0
13,1999-06-25,BEDROCK PARK,56,RBTS,3,60,75,0.27000001,0.22,2,A,R,0.9,NA,68,0
13,1999-06-25,BEDROCK PARK,56,RBTS,1,60,60,0.67000002,0.60000002,1,A,G,1.04,NA,60,0
13,1999-06-25,BEDROCK PARK,56,RBTS,3,35,40,0.31999999,0.25,3,A,P,0,NA,38,0
13,1999-06-25,BEDROCK PARK,56,RBTS,1,60,60,0.51999998,0.44999999,2,A,P,0,NA,60,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,50,50,0.40000001,0.34999999,3,A,G,0.76,NA,50,0
13,1999-06-25,BEDROCK PARK,52,CHNF,30,65,80,0.40000001,0.34999999,3,A,G,0.76,NA,72,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,70,75,0.33000001,0.25,3,A,R,1.1,NA,72,0
13,1999-06-25,BEDROCK PARK,52,CHNF,10,60,75,0.33000001,0.25,3,A,R,1.1,NA,68,0
13,1999-06-25,BEDROCK PARK,52,RBTS,3,80,90,0.27000001,0.2,2,A,G,0.82,NA,85,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,45,50,0.27000001,0.2,2,A,G,0.82,NA,48,0
13,1999-06-25,BEDROCK PARK,52,CHNF,5,65,85,0.27000001,0.2,2,A,G,0.82,NA,75,0
13,1999-06-25,BEDROCK PARK,52,RBTS,4,65,75,0.34999999,0.30000001,3,A,G,1.3,NA,70,0
13,1999-06-25,BEDROCK PARK,52,RBTS,2,45,50,0.34999999,0.30000001,3,A,G,1.3,NA,48,0
13,1999-06-25,BEDROCK PARK,52,CHNF,25,65,90,0.34999999,0.30000001,3,A,G,1.3,NA,78,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,65,65,0.23999999,0.2,3,F,GM,0.5,NA,65,0
13,1999-06-25,BEDROCK PARK,52,RBTS,1,50,50,0.31999999,0.25,3,A,G,1.57,NA,50,0
13,1999-06-25,BEDROCK PARK,52,CHNF,2,60,65,0.31999999,0.25,3,A,G,1.57,NA,62,0
13,1999-06-25,BEDROCK PARK,56,MIN,200,50,80,0.34999999,0.1,1,A,W,0,NA,65,0
13,1999-06-25,BEDROCK PARK,56,RBTS,2,75,80,0.34999999,0.30000001,2,A,G,0.94,NA,78,0
13,1999-06-25,BEDROCK PARK,56,RBTS,1,50,50,0.34999999,0.30000001,2,A,G,0.94,NA,50,0
13,1999-06-25,BEDROCK PARK,56,RBTS,2,55,60,0.34999999,0.30000001,2,A,G,0.94,NA,58,0
13,1999-06-25,BEDROCK PARK,56,CHNF,2,75,75,0.34999999,0.30000001,2,A,G,0.94,NA,75,0
13,1999-06-25,BEDROCK PARK,55,RBTS,1,85,90,0.49000001,0.40000001,2,A,G,0.91,NA,88,0
13,1999-06-25,BEDROCK PARK,55,RBTS,3,65,75,0.49000001,0.40000001,2,A,G,0.91,NA,70,0
13,1999-06-25,BEDROCK PARK,54,CHNF,27,55,75,0.30000001,0.22,2,A,G,0.85,NA,65,0
13,1999-06-25,BEDROCK PARK,54,RBTS,2,55,55,0.27000001,0.22,2,A,G,0.85,NA,55,0
13,1999-06-25,BEDROCK PARK,54,RBTS,2,85,85,0.27000001,0.22,2,A,G,0.85,NA,85,0
13,1999-06-25,BEDROCK PARK,54,RBTS,1,95,95,0.25,0.20999999,2,A,G,0.85,NA,95,0
13,1999-06-25,BEDROCK PARK,54,RBTS,2,75,85,0.25,0.20999999,2,A,G,1.16,NA,80,0
13,1999-06-25,BEDROCK PARK,54,CHNF,3,55,65,0.25,0.20999999,2,A,G,1.16,NA,60,0
13,1999-06-25,BEDROCK PARK,56,CHNF,2,65,65,0.27000001,0.22,2,A,R,0.9,NA,65,0
13,1999-06-25,BEDROCK PARK,55,CHNF,2,75,75,0.44999999,0.30000001,3,A,G,0.5,NA,75,0
13,1999-06-25,BEDROCK PARK,55,CHNF,3,65,75,0.25,0.15000001,2,A,G,0.5,NA,70,0
13,1999-06-25,BEDROCK PARK,55,CHNS,1,140,140,0.5,0.40000001,2,A,G,0.5,NA,140,0
14,1999-06-23,MOES DITCH,26,RBTS,2,45,50,0.07,0.050000001,2,E,W,0,NA,48,0
14,1999-06-23,MOES DITCH,26,RBTS,2,40,40,0.40000001,0.34999999,1,c,P,1.4,NA,40,0
14,1999-06-23,MOES DITCH,26,RBTS,3,45,55,0.36000001,0.33000001,1,a,P,0.5,NA,50,1
14,1999-06-23,MOES DITCH,26,RBTS,1,70,75,0.46000001,0.40000001,1,a,P,0.37,NA,72,1
14,1999-06-23,MOES DITCH,26,RBTS,1,60,60,0.40000001,0.34999999,1,A,G,1.6,NA,60,0
14,1999-06-23,MOES DITCH,26,RBTS,6,60,65,0.44,0.40000001,1,B,G,1.6,NA,62,0
14,1999-06-23,MOES DITCH,26,RBTS,4,70,75,0.33000001,0.30000001,1,B,R,1.6,NA,72,0
14,1999-06-23,MOES DITCH,26,RBTS,3,40,45,0.23,0.2,2,A,R,1.5,NA,42,0
14,1999-06-23,MOES DITCH,26,RBTS,8,60,75,0.25,0.22,2,b,R,1.24,NA,68,1
14,1999-06-23,MOES DITCH,26,RBTS,2,45,50,0.31999999,0.28999999,2,a,P,0.7,NA,48,1
14,1999-06-23,MOES DITCH,26,RBTS,3,55,65,0.25999999,0.23,1,B,R,0.35,NA,60,0
14,1999-06-23,MOES DITCH,26,RBTS,1,75,80,0.25,0.2,2,f,G,0.5,NA,78,1
14,1999-06-23,MOES DITCH,26,RBTS,3,75,80,0.31,0.25,1,B,GM,0.5,NA,78,0
14,1999-06-23,MOES DITCH,26,RBTS,9,65,80,0.15000001,0.12,1,A,R,0.5,NA,72,0
14,1999-06-23,MOES DITCH,26,RBTS,25,45,55,0.22,0.20999999,2,A,R,0.6,NA,50,0
14,1999-06-23,MOES DITCH,26,RBTS,12,60,70,0.28,0.25,1,B,R,1.1,NA,65,0
14,1999-06-23,MOES DITCH,26,RBTS,16,45,55,0.2,0.18000001,1,B,R,0.7,NA,50,0
14,1999-06-23,MOES DITCH,26,RBTS,5,50,60,0.30000001,0.25999999,1,B,P,0.5,NA,55,0
14,1999-06-23,MOES DITCH,26,RBTS,5,50,60,0.31,0.28,1,B,P,1,NA,55,0
14,1999-06-23,MOES DITCH,26,RBTS,6,45,55,0.34999999,0.31999999,1,B,P,1.1,NA,50,0
14,1999-06-23,MOES DITCH,26,RBTS,25,50,60,0.31999999,0.30000001,1,b,P,1,NA,55,1
14,1999-06-23,MOES DITCH,26,RBTS,6,45,55,0.51999998,0.44999999,1,f,P,1,NA,50,1
14,1999-06-23,MOES DITCH,26,CHN,1,150,150,0.36000001,0.33000001,2,B,R,1.7,NA,150,0
14,1999-06-23,MOES DITCH,26,CHNF,175,65,90,0.44999999,0.40000001,2,f,P,1,NA,78,1
14,1999-06-23,MOES DITCH,26,RBTS,13,55,65,0.38999999,0.36000001,2,b,P,1,NA,60,1
14,1999-06-23,MOES DITCH,26,RBTS,1,65,65,0.46000001,0.40000001,1,a,P,0.37,NA,65,1
14,1999-06-23,MOES DITCH,26,RBTS,2,55,60,0.46000001,0.40000001,1,a,P,0.37,NA,58,1
14,1999-06-23,MOES DITCH,26,RBTS,1,45,45,0.46000001,0.40000001,1,a,P,0.37,NA,45,1
14,1999-06-23,MOES DITCH,26,CHNF,4,65,65,0.46000001,0.40000001,1,a,P,0.37,NA,65,1
14,1999-06-23,MOES DITCH,26,RBTS,3,55,55,0.40000001,0.34999999,1,A,G,1.6,NA,55,0
14,1999-06-23,MOES DITCH,26,RBTS,2,65,65,0.40000001,0.34999999,1,A,G,1.6,NA,65,0
14,1999-06-23,MOES DITCH,26,RBTS,1,65,65,0.40000001,0.34999999,1,A,G,1.6,NA,65,0
14,1999-06-23,MOES DITCH,26,CHNF,11,60,75,0.40000001,0.34999999,1,A,G,1.6,NA,68,0
14,1999-06-23,MOES DITCH,26,RBTS,1,45,45,0.33000001,0.30000001,1,B,R,1.6,NA,45,0
14,1999-06-23,MOES DITCH,26,RBTS,10,55,55,0.33000001,0.30000001,1,B,R,1.6,NA,55,0
14,1999-06-23,MOES DITCH,26,RBTS,5,60,75,0.33000001,0.30000001,1,B,R,1.6,NA,68,0
14,1999-06-23,MOES DITCH,26,RBTS,8,55,60,0.31999999,0.28999999,2,a,P,0.7,NA,58,1
14,1999-06-23,MOES DITCH,26,RBTS,4,65,70,0.31999999,0.28999999,2,a,P,0.7,NA,68,1
14,1999-06-23,MOES DITCH,26,CHNF,3,70,75,0.31999999,0.28999999,2,a,P,0.7,NA,72,1
14,1999-06-23,MOES DITCH,26,RBTS,2,70,70,0.25,0.2,2,f,G,0.5,NA,70,1
14,1999-06-23,MOES DITCH,26,RBTS,4,50,60,0.31,0.25,1,B,GM,0.5,NA,55,0
14,1999-06-23,MOES DITCH,26,RBTS,5,90,100,0.31,0.25,1,B,GM,0.5,NA,95,0
14,1999-06-23,MOES DITCH,26,RBT,1,105,105,0.31,0.25,1,B,GM,0.5,NA,105,0
14,1999-06-23,MOES DITCH,26,CHNF,8,60,75,0.31,0.25,1,B,GM,0.5,NA,68,0
14,1999-06-23,MOES DITCH,26,RBTS,9,60,70,0.22,0.20999999,2,A,R,0.6,NA,65,0
14,1999-06-23,MOES DITCH,26,RBTS,4,90,100,0.22,0.20999999,2,A,R,0.6,NA,95,0
14,1999-06-23,MOES DITCH,26,CHNF,3,60,75,0.22,0.20999999,2,A,R,0.6,NA,68,0
14,1999-06-23,MOES DITCH,26,CHNF,7,70,75,0.30000001,0.25999999,1,B,P,0.5,NA,72,0
14,1999-06-23,MOES DITCH,26,RBTS,2,65,75,0.30000001,0.25999999,1,B,P,0.5,NA,70,0
14,1999-06-23,MOES DITCH,26,RBTS,1,80,85,0.30000001,0.25999999,1,B,P,0.5,NA,82,0
14,1999-06-23,MOES DITCH,26,CHNF,3,80,90,0.30000001,0.25999999,1,B,P,0.5,NA,85,0
14,1999-06-23,MOES DITCH,26,RBTS,1,65,65,0.31,0.30000001,1,B,P,1,NA,65,0
14,1999-06-23,MOES DITCH,26,CHNF,3,65,75,0.31,0.30000001,1,B,P,1,NA,70,0
14,1999-06-23,MOES DITCH,26,RBTS,3,65,75,0.31999999,0.30000001,1,b,P,1,NA,70,1
14,1999-06-23,MOES DITCH,26,CHNF,15,60,75,0.36000001,0.33000001,2,B,R,1.7,NA,68,0
14,1999-06-23,MOES DITCH,26,RBTS,17,50,60,0.36000001,0.33000001,2,B,R,1,NA,55,0
14,1999-06-23,MOES DITCH,26,RBTS,3,80,85,0.38999999,0.36000001,2,b,P,1,NA,82,1
14,1999-06-23,MOES DITCH,26,RBTS,1,100,100,0.38999999,0.36000001,2,b,P,1,NA,100,1
14,1999-06-23,MOES DITCH,26,CHNF,75,65,80,0.38999999,0.36000001,2,b,P,1,NA,72,1
14,1999-06-23,MOES DITCH,26,RBTS,7,75,85,0.25999999,0.23,1,B,R,0.35,NA,80,0
