location_table_id,date,location,water_temp,weather,river_mile,flow,number_of_divers,reach_length,reach_width,channel_width,channel_type,gps_coordinate
36,2001-07-10,hatchery ditch,59,direct sunlight,66.5,600,2,25,4,9,sidechannel,N 39º 30.961'  W 121º 33.529
37,2001-07-11,trailer park riffle,59,direct sunlight,64,600,4,25,4,57,mainchannel,N 31º 29.68  W 121º 34.765
38,2001-07-11,robinson riffle,63,direct sunlight,61.5,600,3,25,4,34,mainchannel,N 39º 27.983  W 121º 35.919
39,2001-07-11,robinson riffle,63,direct sunlight,61,600,3,25,4,16,sidechannel,N 39º 27.982'  W 121º 35.920
40,2001-07-12,bedrock park riffle,58,direct sunlight,66,600,2,25,4,51,mainchannel,NA
41,2001-07-12,eye riffle,63,direct sunlight,60.1,600,2,25,4,21,sidechannel,NA
42,2001-07-12,matthews riffle,60.5,direct sunlight,64,600,2,25,4,42,mainchannel,NA
43,2001-07-12,eye riffle,62,direct sunlight,60,600,2,25,4,25,mainchannel,NA
44,2001-07-12,steep riffle,61,direct sunlight,61,600,2,25,4,20,sidechannel,N 39º 27.814  W 121º 36.234
45,2001-07-12,steep riffle,62,direct sunlight,61,600,2,25,4,0,mainchannel,NA
46,2001-06-19,lower hour,68,direct sunlight,56,1900,2,25,4,20,mainchannel branch,N 39º 19.139'  W 121º 37.216
47,2001-06-19,lower hour,69,direct sunlight,56,1900,2,25,4,65,sidechannel,NA
48,2001-06-19,goose riffle,69,direct sunlight,54.5,1900,2,25,4,0,mainchannel,N 39º 24.319'  W 121º 36.976
49,2001-06-19,big bar,72,direct sunlight,53.5,1900,2,25,4,0,mainchannel,"N39º 24.321', W121º 36.982"
50,2001-06-19,gridley riffle,69,direct sunlight,49.5,1900,2,25,4,45,mainchannel branch,"N39*21.247', W121*37.835'"
51,2001-06-19,junkyard riffle,70,direct sunlight,48.5,1900,2,25,4,47,mainchannel,"N39º 20.738', W121º 37.576'"
52,2001-06-19,shallow riffle,73,direct sunlight,47,1900,2,25,4,33,sidechannel,"N39*19.765', W121*37.72'"
53,2001-06-11,hatchery ditch,53,direct sunlight,66.5,0,2,25,4,8,sidechannel,NA
54,2001-06-11,hatchery riffle,56,overcast,66.5,600,2,25,4,0,mainchannel,NA
55,2001-06-11,bedrock park riffle,56,overcast,66,600,2,25,4,0,mainchannel,NA
56,2001-06-11,trailer park riffle,57,direct sunlight,64.5,600,2,25,4,97,mainchannel,"N 39º 29.642, W121º 34.801"
57,2001-06-11,matthews riffle,59,direct sunlight,64,600,2,25,4,77,mainchannel,N 39º 29.575'   W 121º 34.795'
58,2001-06-11,aleck riffle,60.5,direct sunlight,63.5,600,1,25,4,104,mainchannel,N 39º 29.066'  W121º 34.739'
59,2001-06-12,robinson riffle,58,direct sunlight,62,600,2,25,4,18,sidechannel,N 39° 27.895'  W 121° 35.857
60,2001-06-12,robinson riffle,59,direct sunlight,62,600,2,25,4,34,mainchannel,N 39° 27.976'  W 121° 35.981'
61,2001-06-12,steep riffle,60,direct sunlight,61,600,2,25,4,92,mainchannel,N 39° 27.796'  W 121° 36.242'
62,2001-06-12,steep riffle,61.5,direct sunlight,61,600,2,25,4,30,sidechannel,NA
63,2001-06-12,weir riffle,66,direct sunlight,60.5,600,2,25,4,61,mainchannel,NA
64,2001-06-12,eye riffle,61,direct sunlight,60,600,2,25,4,19,sidechannel,NA
65,2001-06-14,vance avenue,0,direct sunlight,58.5,1800,2,25,4,55,mainchannel,N 39° 27.795'  W 121° 36.241'
66,2001-06-14,big hole,64,direct sunlight,58,1800,2,25,4,64,mainchannel,N 39° 26.601'  W 121° 38.228'
67,2001-06-14,big hole,65,direct sunlight,57.5,1800,2,25,4,60,mainchannel branch,N 39° 26.592'  W 121° 38.212'
68,2001-06-14,g95,66,direct sunlight,57,1800,2,25,4,24,sidechannel,N 39° 26.289'  W 121° 38.260'
69,2001-06-14,g95,75,direct sunlight,57,1800,2,25,4,31,sidechannel,N 39° 25.882'  W 121° 37.932'
70,2001-05-21,hatchery ditch,54,direct sunlight,66.5,0,3,25,4,0,sidechannel,NA
71,2001-05-21,hatchery riffle,57,direct sunlight,66.5,600,3,25,4,0,mainchannel,N 39° 30.94'  W 121° 33.28'
72,2001-05-21,auditorium riffle,57,direct sunlight,66,600,2,25,4,60,mainchannel,N 39° 30.92'  W 121° 33.54'
73,2001-05-22,bedrock park riffle,55,direct sunlight,65.8,600,3,25,4,56,mainchannel,N 39° 30.750'  W 121° 34.166'
74,2001-05-22,aleck riffle,62.5,direct sunlight,63.5,600,2,25,4,44,mainchannel,N 39° 29.103'  W 121* 34.740'
75,2001-05-21,robinson riffle,60,direct sunlight,61.5,600,2,25,4,24,sidechannel,N 39º 27.962'  W121º 35.980'
76,2001-05-21,robinson riffle,57.5,direct sunlight,61.5,600,3,25,4,35,mainchannel,NA
77,2001-05-21,steep riffle,60,direct sunlight,61,600,2,25,4,8,sidechannel,N 39° 27.754'  W 121° 36.194'
78,2001-05-22,eye riffle,61,direct sunlight,60,600,3,25,4,53,mainchannel,N 39° 29.012'  W 121° 34.740'
79,2001-05-22,eye riffle,62,direct sunlight,60,600,3,25,4,23,sidechannel,N 39° 29.012'  W 121° 34.740'
80,2001-05-22,big hole,67,direct sunlight,58,2000,2,25,4,20,mainchannel branch,N 39° 26.592'  W 121° 38.209'
81,2001-05-22,big hole,69,direct sunlight,58,2000,2,25,4,21,mainchannel branch,N 39° 26.362'  W 121° 38.220'
82,2001-05-22,g95,67,direct sunlight,57,2000,2,25,4,16,sidechannel,N 39° 25.863'  W 121° 37.934'
83,2001-05-23,g95,62,direct sunlight,57,2000,3,25,4,36,mainchannel,NA
84,2001-05-23,hour riffle,65,direct sunlight,56.5,2000,3,25,4,40,mainchannel branch,NA
85,2001-05-23,hour bars,70,direct sunlight,56,2000,3,25,4,55,mainchannel branch,NA
86,2001-08-22,macfarland riffle,70,direct sunlight,52,2000,2,25,4,84,mainchannel,N 39° 22.50'  W 121° 37.94'
87,2001-05-23,goose riffle,69,direct sunlight,54.7,2000,2,25,4,56,mainchannel,N 39° 24.197'  W 121° 37.094'
88,2001-05-23,macfarland riffle,68,direct sunlight,52.4,2000,2,25,4,60,mainchannel,N 39°22.503 W 121° 37.942
89,2001-05-23,gridley riffle,67,direct sunlight,49.5,2000,2,25,4,30,mainchannel branch,NA
90,2001-05-24,junkyard riffle,0,direct sunlight,49,2000,2,25,4,67,NA,N 39° 20.8 W 121° 37.6
91,2001-05-24,shallow riffle,NA,direct sunlight,47,2000,2,25,4,30,sidechannel,N 39° 19.743 W 121° 37.741
92,2001-05-24,herringer riffle,0,direct sunlight,46,2000,3,25,4,96,mainchannel,N 39° 19.14 W 121° 37.22'
93,2001-08-23,herringer riffle,70,direct sunlight,0,0,2,25,4,115,NA,"N 39°19.068"" W 121°37.256"
94,2001-08-22,shallow riffle,68,direct sunlight,0,0,2,25,4,33,sidechannel,N 39°19.734' W 121°37.791'
95,2001-08-23,gridley riffle,68,direct sunlight,0,0,2,25,4,48,mainchannel branch,N 39°21.261 W 121°37.779
96,2001-04-09,hatchery riffle,52.5,direct sunlight,66.5,600,2,25,4,32,mainchannel branch,NA
97,2001-04-09,auditorium riffle,53,direct sunlight,66.5,600,2,25,4,51,mainchannel branch,NA
98,2001-08-22,big bar,69,direct sunlight,52.5,0,2,25,4,40,mainchannel,N 39° 23.188'  W 121° 37.671'
99,2001-08-22,goose riffle,68.5,direct sunlight,54.5,2000,2,25,4,73,mainchannel,N 39° 24.27'  W 121° 37.02'
100,2001-08-22,hour bars,68.5,direct sunlight,56,2000,2,25,4,147,mainchannel branch,N 39° 24.95'  W 121° 37.60'
101,2001-08-22,lower hour,67,direct sunlight,56,2000,2,25,4,33,mainchannel,N 39° 25.24'  W 121° 37.54'
102,2001-08-21,g95,68,direct sunlight,57,2000,2,25,4,0,sidechannel,N 39° 26.24'  W 121° 38.28
103,2001-08-21,lower big hole,65,direct sunlight,57.5,2000,2,25,4,0,mainchannel branch,N 39° 26.24'  W 121° 38.28'
104,2001-08-21,g95,70.5,direct sunlight,57,2000,2,25,4,0,mainchannel branch,N 39° 25.75'  W 121° 37.57'
105,2001-08-21,vance avenue,65,direct sunlight,58.5,2000,2,25,4,20,mainchannel branch,N 39° 30.987'  W 121° 33.46'
106,2001-08-21,auditorium riffle,56,direct sunlight,66.5,700,2,25,4,74,mainchannel,N 39° 30.906'  W 121° 33.600
107,2001-08-21,aleck riffle,58,direct sunlight,63.5,700,2,25,4,42,mainchannel,N 39° 29.052'  W 121° 34.755'
108,2001-08-21,weir riffle,62,direct sunlight,60.5,700,2,25,4,48,mainchannel,N 39° 27.705'  W 121° 36.387'
109,2001-08-21,eye riffle,64,direct sunlight,60,700,2,25,4,44,sidechannel,N 39° 27.435'  W 121° 36.834'
110,2001-08-21,eye riffle,62,direct sunlight,60,700,2,25,4,22,sidechannel,N 39° 27.452'  W 121° 36.788'
111,2001-04-09,hatchery ditch,50,direct sunlight,66,0,2,25,4,5,sidechannel,NA
112,2001-04-09,trailer park riffle,52,direct sunlight,64.5,600,2,25,4,0,mainchannel,70
113,2001-04-09,matthews riffle,54,direct sunlight,64,600,2,25,4,40,NA,NA
114,2001-04-09,aleck riffle,54,direct sunlight,63.5,600,2,25,4,75,mainchannel,NA
115,2001-04-10,steep riffle,56,direct sunlight,62.5,600,2,25,4,76,mainchannel,NA
116,2001-04-10,robinson riffle,58,direct sunlight,61,600,3,25,4,25,mainchannel,NA
117,2001-04-10,robinson riffle,55,direct sunlight,61,600,3,25,4,35,sidechannel,NA
118,2001-04-10,weir riffle,53,direct sunlight,61,600,2,25,4,37,mainchannel,NA
119,2001-04-10,eye riffle,NA,direct sunlight,60,600,2,25,4,19,sidechannel,NA
120,2001-04-10,eye riffle,53,direct sunlight,60,600,2,25,4,31,mainchannel,NA
121,2001-04-11,vance avenue,56,overcast,58.5,1000,2,25,4,0,mainchannel branch,NA
122,2001-04-11,big hole,57,overcast,58,1000,2,25,4,NA,mainchannel branch,NA
123,2001-04-11,big hole,59,overcast,57.5,1000,2,25,4,NA,mainchannel branch,NA
124,2001-04-11,g95,55.5,overcast,57.4,1000,3,25,4,35,sidechannel,NA
125,2001-04-11,g95,56,overcast,57,1000,3,25,4,50,sidechannel,NA
126,2001-04-11,hour riffle,55,overcast,56.4,1000,2,25,4,27,mainchannel,NA
127,2001-04-12,goose riffle,59,direct sunlight,54.9,1000,2,25,4,58,mainchannel,NA
128,2001-04-12,big bar,59,direct sunlight,53.4,1000,2,25,4,32,mainchannel,NA
129,2001-04-12,macfarland riffle,58,direct sunlight,52.5,1000,2,25,4,60,mainchannel,NA
130,2001-04-12,gridley riffle,56.5,direct sunlight,49.5,100,2,25,4,0,sidechannel,NA
131,2001-04-12,junkyard riffle,59,direct sunlight,48.5,1000,2,25,4,64,mainchannel branch,NA
132,2001-03-19,gridley riffle,56.5,direct sunlight,49.5,1750,2,25,4,37,mainchannel branch,NA
133,2001-03-19,shallow riffle,62.5,direct sunlight,47,1750,2,25,4,31,sidechannel,NA
134,2001-03-19,herringer riffle,58,direct sunlight,46,1750,2,25,4,124,mainchannel,NA
135,2001-03-13,g95,56,direct sunlight,57.3,1750,3,25,4,20,sidechannel,NA
136,2001-03-13,steep riffle,0,direct sunlight,61,600,2,25,4,16,mainchannel branch,NA
137,2001-03-14,hatchery riffle,52,direct sunlight,66.6,600,2,25,4,32,mainchannel branch,NA
138,2001-03-14,auditorium riffle,49,direct sunlight,66.5,600,2,25,4,50,mainchannel,NA
139,2001-03-14,bedrock park riffle,50,direct sunlight,65.9,600,3,25,4,65,mainchannel,NA
140,2001-03-14,trailer park riffle,52,direct sunlight,64.4,600,3,25,4,70,mainchannel,NA
141,2001-03-14,matthews riffle,52,direct sunlight,64,600,3,25,4,30,mainchannel,NA
142,2001-03-15,robinson riffle,49,overcast,61.5,600,3,25,4,35,mainchannel branch,NA
143,2001-03-15,steep riffle,49,overcast,61,600,3,25,4,7,sidechannel,NA
144,2001-03-15,eye riffle,50,overcast,60.2,600,2,25,4,16,mainchannel branch,NA
145,2001-03-15,vance avenue,54,overcast,58.5,1700,3,25,4,50,mainchannel branch,NA
146,2001-03-15,big bar,56,overcast,53.4,1750,3,25,4,34,mainchannel branch,NA
