location,date,longitude,latitude,channel_location
Keister,2024-10-23T00:00:00Z,-121.61937473,39.4087578,HFC
Keister,2024-10-23T00:00:00Z,-121.61932773,39.40875793,HFC
Keister,2024-10-23T00:00:00Z,-121.61934171,39.40883582,HFC
Keister,2024-10-23T00:00:00Z,-121.61919242,39.40880757,HFC
Keister,2024-10-23T00:00:00Z,-121.61923932,39.40881225,HFC
Keister,2024-10-23T00:00:00Z,-121.6192372,39.40862754,HFC
Keister,2024-10-23T00:00:00Z,-121.61869165,39.40848163,HFC
Keister,2024-10-23T00:00:00Z,-121.61852257,39.40832896,HFC
Keister,2024-10-23T00:00:00Z,-121.61942964,39.40884922,HFC
Keister,2024-11-07T00:00:00Z,-121.62016513,39.40884636,HFC
Keister,2024-11-07T00:00:00Z,-121.62002462,39.40889087,HFC
Keister,2024-11-07T00:00:00Z,-121.61965783,39.40866486,HFC
Keister,2024-11-07T00:00:00Z,-121.61877538,39.40884717,HFC
Keister,2024-11-07T00:00:00Z,-121.6179913,39.40795636,HFC
Keister,2024-11-19T00:00:00Z,-121.61971191,39.40872175,HFC
Keister,2024-11-19T00:00:00Z,-121.61962563,39.40876103,HFC
Keister,2024-11-19T00:00:00Z,-121.61923597,39.40876144,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62751906,39.415487829999996,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62732928,39.41554961,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62716158,39.4156286,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62707123,39.41558133,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62699168,39.41562405,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62700916,39.41565266,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62702489,39.41568634,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62685244,39.41573671,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.6268892,39.41577051,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62716268,39.41584537,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62684197,39.41587795,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62702432,39.415987,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62688135,39.41606373,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62663596,39.41605513,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62685352,39.41623079,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62745112,39.41644347,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62761381,39.41645344,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62707704,39.41662661,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62695132,39.41666115,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62691801,39.41674493,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.62688937,39.4167606,HFC
Lower Hour,2024-10-23T00:00:00Z,-121.6271375,39.41680012,HFC
