SurveyID,Date,SnorkelCrew,ShoreCrew,Recorder,RiverFlow,Weather,VisibilityComments,TempTime,Location,SnorkelTimeStart,SnorkelTimeStop,Comments,SurveyType,SectionType,Units,X..of.Divers,X..of.Center.Passes,Pass.width,Visibility,Temperature
21,1999-05-25,TV EE BC JK,PH,PH,1886,CLR,,(12/30/99 11:00:00),VANCE AVE BOATRAMP TO BIG HOLE BOATRAMP,(12/30/99 11:00:00),(12/30/99 13:10:00),,Comp,,,NA,NA,NA,NA,64
22,1999-05-25,BC JK EE TV,PH,PH,1886,CLR,,(12/30/99 13:40:00),BH BOATRAMP TO G95,(12/30/99 13:40:00),(12/30/99 15:10:00),,Comp,,,NA,NA,NA,NA,66
23,1999-05-24,TV SG DG PH,JK,JK,1886,CLR,EXREMELY POOR VISIBILITY,(12/30/99 13:30:00),THERMALITO BAR TO VANCE AVE RIFFLE,(12/30/99 13:15:00),(12/30/99 14:35:00),,Comp,,,NA,NA,NA,0.600000023841858,65
25,1999-05-20,JK PH SG TV,EE,EE,627,CLR,,(12/30/99 14:00:00),LOWER EYE TO GATEWAY,(12/30/99 14:05:00),(12/30/99 15:30:00),,Comp,,,NA,NA,NA,3.5,58
26,1999-05-20,JK PH SG TV,EE,EE,627,CLD,,(12/30/99 11:40:00),STEEP RIFFLE,(12/30/99 11:40:00),(12/30/99 12:00:00),,Comp,,,NA,NA,NA,2.79999995231628,56.5
28,1999-05-20,JK TV PH SG,EE,EE,627,CLR,,(12/30/99 13:00:00),WEIR TO EYE RIFFLE,(12/30/99 13:00:00),(12/30/99 14:00:00),,Comp,,,NA,NA,NA,2.59999990463257,57.5
29,1999-04-09,ph sg ts,ph,ph,3297,CLR,,(NA NA),Big Hole Island to G95,(12/30/99 11:15:00),(NA NA),Rm 58.6-57.35,Comp,,,NA,NA,NA,NA,51
31,1999-04-12,,ph,,600,,,(NA NA),Table Mtn Bridge to Hatchery Riffle,(NA NA),(NA NA), Rm 66.7-66.9,Comp,,,NA,NA,NA,NA,NA
32,1999-04-12,,ph,,600,,,(NA NA),Hatchery Riffle to  Upper Bedrock Pool,(NA NA),(NA NA),Rm 66.1-66.7,Comp,,,NA,NA,NA,NA,NA
34,1999-04-13,,ph,,600,,,(NA NA),Matthews to Aleck,(NA NA),(NA NA),63.6-64,Comp,,,NA,NA,NA,NA,NA
35,1999-04-13,,,,600,,,(NA NA),Robinson to Steep,(NA NA),(NA NA),rm 61-61.8,Comp,,,NA,NA,NA,NA,NA
36,1999-04-14,PH SG TV DG,PH,PH,4019,,,(NA NA),G95 to Hour Glide,(NA NA),(NA NA),RM 56.6-57.25,Comp,,,NA,NA,NA,NA,NA
37,1999-04-14,PH SG TV DG,PH,PH,4019,,,(NA NA),G95 to Hour Glide,(NA NA),(NA NA),56.6-57.25,Comp,,,NA,NA,NA,NA,NA
