Name,Longitude,Latitude
Hatchery Side Channel,-121.5585248417287,39.51634313608636
Hatchery Side Channel,-121.5585108656041,39.51634351695814
Hatchery Side Channel,-121.5584854007008,39.51635000914545
Hatchery Side Channel,-121.5584496884976,39.51636392806808
Hatchery Side Channel,-121.558420230865,39.51637071415018
Hatchery Side Channel,-121.5584032044125,39.516374847394
Hatchery Side Channel,-121.5583726021792,39.51638002928992
Hatchery Side Channel,-121.5583165832611,39.51638155858862
Hatchery Side Channel,-121.5582833249069,39.51639106527912
Hatchery Side Channel,-121.5582470836094,39.51639480475142
Hatchery Side Channel,-121.5582223492282,39.51640478922014
Hatchery Side Channel,-121.558188324225,39.51640395278578
Hatchery Side Channel,-121.5581487633253,39.51641374953672
Hatchery Side Channel,-121.5581324027108,39.51641478516617
Hatchery Side Channel,-121.5581065839545,39.51641231725895
Hatchery Side Channel,-121.5580731363043,39.51642153003787
Hatchery Side Channel,-121.5580305159961,39.51642324386695
Hatchery Side Channel,-121.557994323692,39.51642531555092
Hatchery Side Channel,-121.5579659362771,39.51642635281363
Hatchery Side Channel,-121.557929244994,39.51644116250606
Hatchery Side Channel,-121.5578932186467,39.51644166437335
Hatchery Side Channel,-121.5578705614324,39.51644388254068
Hatchery Side Channel,-121.5578364543062,39.51644285028144
Hatchery Side Channel,-121.5577968849418,39.51643859994417
Hatchery Side Channel,-121.5577526737851,39.51644889245251
Hatchery Side Channel,-121.557717033733,39.51644812155954
Hatchery Side Channel,-121.5576747594436,39.51645966936085
Hatchery Side Channel,-121.5576448623927,39.51646109448225
Hatchery Side Channel,-121.5576284458973,39.51645656043542
Hatchery Side Channel,-121.5575867643466,39.51647409395942
Hatchery Side Channel,-121.5575607378147,39.51648158860952
Hatchery Side Channel,-121.5575397118238,39.51648671090128
Hatchery Side Channel,-121.557511146395,39.51649275834745
Hatchery Side Channel,-121.5574859453924,39.51650005235763
Hatchery Side Channel,-121.5574593809608,39.51651349183877
Hatchery Side Channel,-121.5574444822737,39.51651446967127
Hatchery Side Channel,-121.5574035021397,39.51653178642945
Hatchery Side Channel,-121.5573854813953,39.51653742335277
Hatchery Side Channel,-121.5573495088541,39.51655436331922
