area_sq_m,unit,unit_sub_level,latitude,longitude
4865.269109,279,,39.44455626,-121.637631
10441.75102,280,,39.44424727,-121.6372904
8048.870821,281,,39.44417107,-121.6369604
6518.608678,282,,39.44326415,-121.6362697
9066.142439,283,,39.44327199,-121.6359588
5785.606728,284,,39.44338977,-121.6356948
7302.575797,285,,39.44353333,-121.6377735
10974.47194,286,,39.44223538,-121.6372417
6721.851632,287,,39.44223012,-121.6369671
3020.738822,288,,39.44167631,-121.6360545
8444.632645,289,,39.44183242,-121.6357802
3543.523182,290,,39.44187687,-121.6354706
6150.086257,291,,39.43917832,-121.6376435
14380.26045,292,,39.43983062,-121.6373294
6446.445269,293,,39.44016864,-121.6370255
5584.031882,294,,39.43972205,-121.635884
16120.73722,295,,39.44034722,-121.6356522
6656.299148,296,,39.44030304,-121.6352728
4242.102516,297,,39.4380145,-121.6382493
6626.853639,298,,39.43801346,-121.6380027
2937.908508,299,,39.43841761,-121.6374396
4084.720113,300,,39.43764375,-121.6371726
6041.480019,303,,39.43823586,-121.6358811
12675.68105,304,,39.4378845,-121.6359511
6544.944723,305,,39.43791534,-121.6356284
6717.958931,306,,39.43648704,-121.6376192
14027.74699,307,,39.43612721,-121.6372015
7871.220159,308,,39.43611214,-121.6369921
6596.473693,309,,39.43573929,-121.6364808
10625.97373,310,,39.43568578,-121.6361581
5290.433137,311,,39.43593017,-121.6359328
7168.912338,312,,39.43403164,-121.6363584
12631.56259,313,,39.43434732,-121.6361792
16660.87251,314,,39.4337545,-121.6352269
7999.430779,315,,39.43363141,-121.6347298
7918.163177,316,,39.43232425,-121.6339826
14972.99951,317,,39.43257454,-121.6336988
5289.512282,318,,39.43274607,-121.6332909
4339.665055,319,,39.43152947,-121.6326722
13442.37987,320,,39.43188995,-121.6321839
5057.580815,321,,39.43225319,-121.631819
5152.374613,322,,39.43272805,-121.6323164
4421.745445,323,A,39.43039654,-121.6315224
7019.813981,323,B,39.43051316,-121.6313888
5453.838555,324,,39.43070593,-121.630688
16843.56289,325,,39.43118736,-121.6308851
5985.787632,326,,39.43138634,-121.6304855
6480.443968,327,,39.42955551,-121.6293001
19180.35975,328,,39.43031947,-121.6298308
4810.053184,329,,39.43001011,-121.6290372
4137.928402,329,B,39.43021141,-121.6284057
10823.45335,330,,39.43083218,-121.6292912
7945.233502,331,,39.4305361,-121.6279019
4497.710323,332,,39.42817675,-121.6267859
7944.746379,333,,39.4286253,-121.6271435
3411.451887,334,,39.42882933,-121.6270974
958.7458308,334,,39.42853662,-121.6262851
772.4318944,335,,39.42872436,-121.6261168
3010.168699,335,,39.42954815,-121.6267782
4216.0154,336,,39.42963897,-121.6266651
2705.244261,337,,39.42974333,-121.6265943
8958.843915,338,,39.42700086,-121.625449
21066.72581,339,,39.42706956,-121.6250525
6627.21021,340,,39.42842669,-121.6259895
10925.77024,341,,39.42729355,-121.6246765
8433.794039,342,,39.42511635,-121.6244063
20507.61126,343,,39.42527573,-121.6239364
8970.986767,344,,39.42612983,-121.6236437
7538.69279,345,,39.42283172,-121.6247083
18529.42666,346,,39.42334363,-121.6240815
9920.692514,347,,39.42324599,-121.6236216
8709.841412,348,,39.42203527,-121.6247112
1633.908067,349,,39.42195817,-121.6243575
4086.629186,350,,39.42154714,-121.6248891
6794.307564,351,,39.42113576,-121.6240594
5136.207171,352,,39.42146336,-121.6239395
5904.157984,353,,39.42149617,-121.626201
9260.686308,354,,39.42211967,-121.6253639
5830.958782,355,,39.42168082,-121.6255688
3846.569382,356,,39.41941397,-121.6265289
7065.387177,357,,39.41921173,-121.6264439
4785.102221,358,,39.4193107,-121.626199
2985.578335,359,,39.41989373,-121.6243669
7495.882978,360,,39.41993753,-121.6241646
4202.017255,361,,39.4198538,-121.6239827
7714.229159,362,,39.4174224,-121.6276674
9498.262902,363,,39.41788379,-121.627239
6238.503032,364,,39.41774644,-121.627034
6581.53433,365,,39.41716439,-121.6261819
13366.53354,366,,39.41755887,-121.6253098
6113.817411,367,,39.41761502,-121.6249099
7036.223238,368,,39.41683288,-121.6270371
8952.99842,369,,39.4166421,-121.6265056
3012.246305,370,,39.41653191,-121.6259971
5922.136975,371,,39.41582125,-121.6282509
7856.289032,372,,39.4158379,-121.6277907
13131.44384,373,,39.41588018,-121.6271369
6093.35031,374,,39.4156091,-121.6266903
8938.162781,375,,39.41426973,-121.628439
14151.47062,376,,39.41412462,-121.6281344
6871.10456,377,,39.41415467,-121.6278569
5387.314186,378,,39.41196723,-121.6279943
12008.85418,379,,39.41194924,-121.6276598
9846.202907,380,,39.41203233,-121.627158
6448.598381,381,,39.41051765,-121.626485
14488.76691,382,,39.41061082,-121.6261884
17087.52703,383,,39.41131616,-121.6264755
12058.27209,384,,39.41112891,-121.6254587
8463.022336,385,,39.40913816,-121.6248063
14869.71988,386,,39.40941849,-121.6244932
6125.989869,386,,39.40994899,-121.6238305
10262.61899,387,,39.40972274,-121.6240959
5569.92299,389,,39.40851509,-121.6227429
17044.92428,390,,39.40886202,-121.6226691
5068.643969,391,,39.40907322,-121.6223094
3597.390951,392,,39.40815733,-121.6209816
8217.402947,393,,39.40845299,-121.6209637
3338.163985,394,,39.40876589,-121.6209004
2458.415499,395,,39.40921707,-121.6206758
7253.983228,396,,39.4079581,-121.6191781
26484.00591,397,,39.40847133,-121.6190372
13050.09254,398,,39.40902378,-121.6191174
1524.246265,399,,39.40782003,-121.6180365
2845.835314,400,,39.40804274,-121.6183611
20487.63468,401,,39.40799048,-121.6171213
12024.96472,402,,39.40831012,-121.6165296
4353.968544,403,,39.40747873,-121.6174336
2075.293704,404,,39.40738503,-121.6169699
4905.023004,405,,39.40569815,-121.6169705
12222.25682,406,,39.40635708,-121.616619
8366.348939,407,,39.40616353,-121.6163281
5256.977773,408,,39.4048771,-121.6178504
14242.05573,409,,39.40464102,-121.6176479
5881.79752,410,,39.40494773,-121.6168861
11872.84798,411,,39.40264283,-121.6192373
24399.57573,412,,39.40229898,-121.6190093
13080.94405,413,,39.40250641,-121.6186505
11536.30374,417,,39.39806996,-121.6204698
28145.37841,418,,39.39788801,-121.6201629
19851.33,419,,39.39803492,-121.6196516
15228.76083,420,,39.39797661,-121.6188592
13323.97166,421,,39.39582282,-121.6219102
26476.60579,422,,39.39575164,-121.6213523
9721.554428,423,,39.395873,-121.6207584
8843.90021,424,,39.39307607,-121.6226533
21554.20568,425,,39.39318693,-121.6222734
10560.74404,426,,39.3933909,-121.6218433
12609.77606,427,,39.39037146,-121.6242597
34187.57364,428,,39.39022762,-121.6238881
14919.30276,429,,39.38971548,-121.6236138
9445.303678,430,,39.38825498,-121.6258708
27335.01895,431,,39.38660799,-121.6270691
9059.805516,432,,39.38735122,-121.6257007
15024.56563,433,,39.38571795,-121.6299335
21356.8008,434,,39.38470126,-121.631066
13933.26641,435,,39.3845927,-121.6308702
20235.09264,436,,39.38562061,-121.6274417
23268.35953,437,,39.38354928,-121.632771
39479.43071,438,,39.38276362,-121.6329139
25706.46172,439,,39.38169526,-121.6330087
