PhysDataTblID,Location,Date,RiverMile,SpeciesCode,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode,Depth,Velocity,Sub1,Sub2,Sub3,Sub4,Sub5,Sub6,IcovA,IcovB,IcovC,IcovE,IcovF,Ocov0,Ocov1,Ocov2,SurTurb,CGU,Distance,FishAge,SpecAge
19,Steep side channel,2001-08-20,61,RBTS,1,200,3,3.21,9.3,32,3.38,0,10,80,10,0,0,100,0,0,0,0,100,0,0,0,g,3,1,rbt1
33,Junkyard,2001-07-18,48.5,SPD,1,50,0,0.20999999,12.4,34,0.21,0,0,40,60,0,0,100,0,0,0,0,100,0,0,0,g,4,0,
36,Hatchery Ditch,2001-07-10,66.5,CHN,9,45,0,0,12.4,20,1.24,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,r,4,0,chn0
36,Hatchery Ditch,2001-07-10,66.5,RBTS,1,45,1,0.62,15.3,19,0.98,0,0,100,0,0,0,90,10,0,0,0,100,0,0,0,r,3,0,rbt0
36,Hatchery Ditch,2001-07-10,66.5,CHN,7,50,0,0,15.3,19,0.98,0,0,100,0,0,0,90,10,0,0,0,100,0,0,0,r,3,0,chn0
36,Hatchery Ditch,2001-07-10,66.5,CHN,10,45,0,0,18.4,20,0.66,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,r,4,0,chn0
47,Lower Hour Side Channel,2001-06-19,56,SASQ,2,50,17,0.37,3.2,52,0.56,0,10,30,60,0,0,90,10,0,0,0,100,0,0,0,g,2,0,
47,Lower Hour Side Channel,2001-06-19,56,TP,10,50,40,0.56,9.3,82,0.75,0,30,60,10,0,0,90,10,0,0,0,100,0,0,0,g,3,0,
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,2,40,0,1.5599999,3.4,12,2.45,0,0,100,0,0,0,100,0,0,0,0,100,0,0,0,r,4,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,1,40,0,2.26,6.1,12,2.26,50,0,50,0,0,0,55,20,0,25,0,100,0,0,0,r,1,0,rbt0
53,Hatchery  Ditch,2001-06-11,66.5,RBTS,5,50,0,1.13,9.4,30,1.13,0,0,0,100,0,0,100,0,0,0,0,100,0,0,0,r,4,0,rbt0
