PDatID,FishDataID,Species,Count,FL..mm.,WaterDepth,DistToBottom,Focal.Velocity,AvVel,Substrate,I.CovCode,OCoverCodeID,X.SurfTurb,TCode,FishInTran,FocalClicks,AdjFocalVel,AvVelClicks,AdjAvVel
62,102,3,3,80,NA,0,0.55000001,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
70,103,1,1,35,NA,20,0.60000002,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
70,104,1,1,35,NA,7,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
70,105,1,2,35,NA,10,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
70,106,3,5,40,NA,10,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
70,107,3,3,40,NA,3,0.86000001,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
70,108,1,1,35,NA,3,0.86000001,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
70,109,3,50,45,NA,0,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
70,110,1,5,35,NA,0,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
70,111,3,3,40,NA,0,0.85000002,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
70,112,3,3,45,NA,0,0.47,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
70,113,1,1,40,NA,3,0.77999997,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
70,114,1,1,40,NA,5,0.31,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
70,115,3,1,35,NA,5,0.31,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
70,116,1,2,25,NA,5,0.31,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
70,117,3,2,40,NA,5,1.63,NA,NA,NA,NA,NA,15.4,0,NA,NA,NA,NA
70,118,1,4,40,NA,5,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
70,119,1,3,25,NA,10,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
70,120,1,2,25,NA,10,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
70,121,3,10,35,NA,10,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
70,122,3,5,35,NA,5,1.3200001,NA,NA,NA,NA,NA,24.3,0,NA,NA,NA,NA
70,123,1,1,35,NA,2,0.91000003,NA,NA,NA,NA,NA,24.3,0,NA,NA,NA,NA
70,124,3,3,40,NA,0.029999999,0.91000003,NA,NA,NA,NA,NA,24.3,0,NA,NA,NA,NA
71,125,3,150,45,NA,50,0.50999999,NA,NA,NA,NA,NA,6.3,0,NA,NA,NA,NA
71,126,1,1,75,NA,15,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
71,127,1,1,25,NA,10,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
71,128,1,2,25,NA,5,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
71,129,1,1,50,NA,5,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
71,130,1,1,35,NA,5,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
72,131,1,10,25,NA,20,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
72,132,1,5,30,NA,20,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
72,133,3,20,40,NA,20,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
72,134,3,40,45,NA,20,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
72,135,3,2,65,NA,15,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
72,136,3,50,65,NA,15,0,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
72,137,1,1,35,NA,15,0,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
72,138,1,150,35,NA,15,0,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
72,139,1,5,25,NA,15,0,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
72,140,1,150,40,NA,30,0.15000001,NA,NA,NA,NA,NA,6.4,0,NA,NA,NA,NA
72,141,3,50,50,NA,20,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
72,142,1,6,30,NA,20,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
72,143,3,75,40,NA,20,0,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
72,144,1,5,35,NA,5,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
72,145,1,3,25,NA,5,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
72,146,1,1,35,NA,3,0.28999999,NA,NA,NA,NA,NA,18.3,0,NA,NA,NA,NA
72,147,1,1,25,NA,5,0,NA,NA,NA,NA,NA,21.1,0,NA,NA,NA,NA
72,148,1,2,25,NA,15,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
72,149,3,200,35,NA,25,0.5,NA,NA,NA,NA,NA,24.4,0,NA,NA,NA,NA
73,150,3,50,35,NA,10,0,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
73,151,3,1,35,NA,4,0,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
74,152,1,1,30,NA,5,0,NA,NA,NA,NA,NA,9.2,0,NA,NA,NA,NA
76,153,1,1,40,NA,15,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
76,154,3,5,70,NA,20,0,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
76,155,3,1,100,NA,20,0,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
77,156,2,2,450,NA,25,0,NA,NA,NA,NA,NA,15.3,0,NA,NA,NA,NA
77,157,3,20,80,NA,40,0,NA,NA,NA,NA,NA,24.3,0,NA,NA,NA,NA
78,158,1,1,40,NA,10,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
79,159,1,1,40,NA,2,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
79,160,3,4,35,NA,2,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
79,161,3,2,75,NA,2,0.57999998,NA,NA,NA,NA,NA,21.2,0,NA,NA,NA,NA
86,162,NA,0,0,NA,0,0,NA,NA,NA,NA,NA,0,0,NA,NA,NA,NA
90,163,6,15,40,NA,40,2.03,NA,NA,NA,NA,NA,18.3,0,NA,NA,NA,NA
96,164,1,1,30,NA,10,0,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
96,165,1,1,30,NA,10,0,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
96,166,1,1,30,NA,10,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
96,167,3,500,45,NA,30,0,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
96,168,3,500,50,NA,30,0,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
96,169,1,25,30,NA,30,0,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
96,170,1,7,30,NA,10,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
96,171,1,4,30,NA,5,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
96,172,3,5,40,NA,5,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
96,173,1,2,30,NA,15,0.18000001,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
96,174,1,1,50,NA,15,0.18000001,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
96,175,3,30,50,NA,15,0.18000001,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
96,176,3,2,50,NA,15,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
96,177,1,5,30,NA,15,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
96,178,1,2,25,NA,5,0,NA,NA,NA,NA,NA,24.1,0,NA,NA,NA,NA
97,179,3,50,45,NA,8,0.25999999,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
97,180,1,2,25,NA,30,0,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
97,181,1,1,35,NA,35,0,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
97,182,3,8,50,NA,30,0.75,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
97,183,1,1,35,NA,2,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
97,184,3,50,40,NA,5,0.85000002,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
97,185,3,2,35,NA,1,0,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
97,186,3,40,35,NA,1,0.50999999,NA,NA,NA,NA,NA,6.1,0,NA,NA,NA,NA
97,187,1,3,25,NA,3,0,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
97,188,3,60,40,NA,4,0.56,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
97,189,1,5,30,NA,5,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
97,190,1,1,30,NA,5,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
97,191,1,3,30,NA,3,0,NA,NA,NA,NA,NA,18.1,0,NA,NA,NA,NA
97,192,3,150,40,NA,10,0,NA,NA,NA,NA,NA,24.2,0,NA,NA,NA,NA
99,193,9,3,45,NA,5,2.21,NA,NA,NA,NA,NA,9.4,0,NA,NA,NA,NA
99,194,2,2,125,NA,10,1.78,NA,NA,NA,NA,NA,15.4,0,NA,NA,NA,NA
101,195,4,1,200,NA,10,0.18000001,NA,NA,NA,NA,NA,0.4,0,NA,NA,NA,NA
102,196,9,11,40,NA,10,0.55000001,NA,NA,NA,NA,NA,3.3,0,NA,NA,NA,NA
103,197,4,2,180,NA,30,0.95999998,NA,NA,NA,NA,NA,6.3,0,NA,NA,NA,NA
103,198,9,1,40,NA,10,2.1400001,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
103,199,9,8,40,NA,30,0,NA,NA,NA,NA,NA,15.2,0,NA,NA,NA,NA
107,200,1,3,65,NA,5,1.3200001,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
107,201,1,2,65,NA,5,2.6400001,NA,NA,NA,NA,NA,12.3,0,NA,NA,NA,NA
111,202,1,2,25,NA,1,0.76999998,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
111,203,1,2,25,NA,1,0,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
111,204,1,9,27,NA,1,0,NA,NA,NA,NA,NA,0.1,0,NA,NA,NA,NA
111,205,1,3,27,NA,1,0,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
111,206,3,25,40,NA,1,0,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
111,207,1,2,25,NA,1,0,NA,NA,NA,NA,NA,3.1,0,NA,NA,NA,NA
111,208,3,30,45,NA,5,1.0599999,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
111,209,1,2,25,NA,1,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
111,210,1,1,25,NA,1,0,NA,NA,NA,NA,NA,3.2,0,NA,NA,NA,NA
111,211,1,4,25,NA,1,0,NA,NA,NA,NA,NA,3.3,0,NA,NA,NA,NA
111,212,1,10,30,NA,1,0,NA,NA,NA,NA,NA,6.2,0,NA,NA,NA,NA
111,213,1,8,30,NA,0,0.36000001,NA,NA,NA,NA,NA,6.3,0,NA,NA,NA,NA
111,214,1,6,30,NA,1,0.25,NA,NA,NA,NA,NA,6.3,0,NA,NA,NA,NA
111,215,1,2,30,NA,1,0.25,NA,NA,NA,NA,NA,6.3,0,NA,NA,NA,NA
111,216,1,1,25,NA,1,0.44999999,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
111,217,1,2,25,NA,1,0.44999999,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
111,218,1,1,25,NA,1,0.44999999,NA,NA,NA,NA,NA,9.1,0,NA,NA,NA,NA
111,219,1,2,40,NA,0.5,0,NA,NA,NA,NA,NA,9.2,0,NA,NA,NA,NA
111,220,1,2,25,NA,0.5,0,NA,NA,NA,NA,NA,9.2,0,NA,NA,NA,NA
111,221,3,1,40,NA,1,0,NA,NA,NA,NA,NA,9.2,0,NA,NA,NA,NA
111,222,1,6,30,NA,2,0.54000002,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,223,3,40,40,NA,2,0.54000002,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,224,3,40,50,NA,2,0.54000002,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,225,3,100,35,NA,2,0.54000002,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,226,3,6,30,NA,1,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
111,227,1,6,25,NA,2,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
111,228,1,7,25,NA,2,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
111,229,3,50,35,NA,1,0,NA,NA,NA,NA,NA,12.1,0,NA,NA,NA,NA
111,230,1,15,30,NA,1,1,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,231,1,2,25,NA,1,1,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,232,3,2,40,NA,1,1,NA,NA,NA,NA,NA,12.2,0,NA,NA,NA,NA
111,233,3,100,40,NA,5,0.46000001,NA,NA,NA,NA,NA,15.2,0,NA,NA,NA,NA
111,234,3,3,70,NA,10,0.46000001,NA,NA,NA,NA,NA,15.2,0,NA,NA,NA,NA
111,235,3,50,40,NA,10,0,NA,NA,NA,NA,NA,15.1,0,NA,NA,NA,NA
