PDatID,FishDataID,Species,Count,FL..mm.,DistToBottom,Focal.Velocity,TCode
19,67,1,1,200,3,1.8099999,6.4
19,68,1,1,210,3,1.8099999,6.4
19,69,1,1,160,3,3.4400001,9.3
19,70,1,1,200,3,3.21,9.3
33,71,9,1,50,0,0.20999999,12.4
36,72,3,9,45,0,0,12.4
36,73,1,1,45,1,0.62,15.3
36,74,3,7,50,0,0,15.3
36,75,3,10,45,0,0,18.4
47,76,4,2,50,17,0.37,3.2
47,77,6,10,50,40,0.56,9.3
53,78,1,2,40,0,1.5599999,3.4
53,79,1,1,40,0,2.26,6.1
53,80,1,5,50,0,1.13,9.4
53,81,3,27,50,0,1.13,9.4
53,82,1,7,50,0,0.77999997,9.4
53,83,1,9,45,0,1.65,15.4
53,84,3,10,60,0,1.65,15.4
53,85,1,2,30,0,0.49000001,15.3
53,86,1,6,45,0,0.85000002,21.4
53,87,1,2,55,0,0.94,24.2
53,88,3,15,65,0,0.94,24.2
53,89,1,9,45,0,1.42,15.4
53,90,3,7,50,0,1.42,15.4
54,91,3,75,45,0,0,21.3
54,92,3,25,60,0,0,21.3
57,93,1,4,45,10,0.62,18.4
58,94,1,1,45,5,1.36,6.4
58,95,9,10,35,5,1.36,6.4
58,96,1,1,40,5,1.36,9.3
58,97,1,1,40,10,1.25,12.4
58,98,1,2,60,10,0.57999998,21.4
58,99,3,10,70,10,0.57999998,21.4
58,100,1,2,45,10,0.57999998,21.4
59,101,1,1,55,10,0.41999999,12.3
62,102,3,3,80,0,0.55000001,9.1
70,103,1,1,35,20,0.60000002,3.1
70,104,1,1,35,7,0,6.1
70,105,1,2,35,10,0,6.1
70,106,3,5,40,10,0,6.1
70,107,3,3,40,3,0.86000001,6.1
70,108,1,1,35,3,0.86000001,6.1
70,109,3,50,45,0,0,6.1
70,110,1,5,35,0,0,9.1
70,111,3,3,40,0,0.85000002,12.1
70,112,3,3,45,0,0.47,12.3
70,113,1,1,40,3,0.77999997,12.3
70,114,1,1,40,5,0.31,15.1
70,115,3,1,35,5,0.31,15.1
70,116,1,2,25,5,0.31,15.1
70,117,3,2,40,5,1.63,15.4
70,118,1,4,40,5,0,18.1
70,119,1,3,25,10,0,18.1
70,120,1,2,25,10,0,21.1
70,121,3,10,35,10,0,21.1
70,122,3,5,35,5,1.3200001,24.3
70,123,1,1,35,2,0.91000003,24.3
70,124,3,3,40,3,0.91000003,24.3
71,125,3,150,45,50,0.50999999,6.3
71,126,1,1,75,15,0,6.1
71,127,1,1,25,10,0,12.1
71,128,1,2,25,5,0,24.1
71,129,1,1,50,5,0,24.1
71,130,1,1,35,5,0,24.1
72,131,1,10,25,20,0,3.2
72,132,1,5,30,20,0,3.2
72,133,3,20,40,20,0,3.2
72,134,3,40,45,20,0,3.2
72,135,3,2,65,15,0,3.2
72,136,3,50,65,15,0,6.2
72,137,1,1,35,15,0,6.4
72,138,1,150,35,15,0,6.4
72,139,1,5,25,15,0,6.4
72,140,1,150,40,30,0.15000001,6.4
72,141,3,50,50,20,0,9.1
72,142,1,6,30,20,0,9.1
72,143,3,75,40,20,0,9.4
72,144,1,5,35,5,0,15.1
72,145,1,3,25,5,0,18.1
72,146,1,1,35,3,0.28999999,18.3
72,147,1,1,25,5,0,21.1
72,148,1,2,25,15,0,24.1
72,149,3,200,35,25,0.5,24.4
73,150,3,50,35,10,0,9.4
73,151,3,1,35,4,0,9.4
74,152,1,1,30,5,0,9.2
76,153,1,1,40,15,0,12.1
76,154,3,5,70,20,0,12.3
76,155,3,1,100,20,0,12.3
77,156,2,2,450,25,0,15.3
77,157,3,20,80,40,0,24.3
78,158,1,1,40,10,0,15.1
79,159,1,1,40,2,0,18.1
79,160,3,4,35,2,0,18.1
79,161,3,2,75,2,0.57999998,21.2
86,162,NA,0,0,0,0,0
90,163,6,15,40,40,2.03,18.3
96,164,1,1,30,10,0,0.1
96,165,1,1,30,10,0,3.1
96,166,1,1,30,1,0,12.1
96,167,3,500,45,3,0,12.2
96,168,3,500,50,4,0,12.2
96,169,1,25,30,4,0,12.2
96,170,1,7,30,10,0,15.1
96,171,1,4,30,5,0,18.1
96,172,3,5,40,5,0,18.1
96,173,1,2,30,5,0.18000001,24.1
96,174,1,1,50,5,0.18000001,24.1
96,175,3,30,50,4,0.18000001,24.1
96,176,3,2,50,6,0,24.1
96,177,1,5,30,5,0,24.1
96,178,1,2,25,5,0,24.1
97,179,3,50,45,8,0.25999999,0.1
97,180,1,2,25,10,0,0.1
97,181,1,1,35,15,0,3.1
97,182,3,8,50,30,0.75,3.2
97,183,1,1,35,2,0,6.1
97,184,3,50,40,5,0.85000002,6.2
97,185,3,2,35,1,0,6.1
97,186,3,40,35,1,0.50999999,6.1
97,187,1,3,25,3,0,9.1
97,188,3,60,40,4,0.56,12.1
