unit,unit_sub_level,channel_type,river_mile,area_sq_m,latitude,longitude
279,NA,HFC,9,4865.269109,39.44455626,-121.637631
280,NA,HFC,9,10441.75102,39.44424727,-121.6372904
281,NA,HFC,9,8048.870821,39.44417107,-121.6369604
282,NA,HFC,9,6518.608678,39.44326415,-121.6362697
283,NA,HFC,9,9066.142439,39.44327199,-121.6359588
284,NA,HFC,9,5785.606728,39.44338977,-121.6356948
285,NA,HFC,9,7302.575797,39.44353333,-121.6377735
286,NA,HFC,9,10974.47194,39.44223538,-121.6372417
287,NA,HFC,9,6721.851632,39.44223012,-121.6369671
288,NA,HFC,9,3020.738822,39.44167631,-121.6360545
289,NA,HFC,9,8444.632645,39.44183242,-121.6357802
290,NA,HFC,9,3543.523182,39.44187687,-121.6354706
291,NA,HFC,10,6150.086257,39.43917832,-121.6376435
292,NA,HFC,10,14380.26045,39.43983062,-121.6373294
293,NA,HFC,10,6446.445269,39.44016864,-121.6370255
294,NA,HFC,10,5584.031882,39.43972205,-121.635884
295,NA,HFC,10,16120.73722,39.44034722,-121.6356522
296,NA,HFC,10,6656.299148,39.44030304,-121.6352728
297,NA,HFC,10,4242.102516,39.4380145,-121.6382493
298,NA,HFC,10,6626.853639,39.43801346,-121.6380027
299,NA,HFC,10,2937.908508,39.43841761,-121.6374396
300,NA,HFC,10,4084.720113,39.43764375,-121.6371726
303,NA,HFC,10,6041.480019,39.43823586,-121.6358811
304,NA,HFC,10,12675.68105,39.4378845,-121.6359511
305,NA,HFC,10,6544.944723,39.437915340000004,-121.6356284
306,NA,HFC,10,6717.958931,39.43648704,-121.6376192
307,NA,HFC,10,14027.74699,39.43612721,-121.6372015
308,NA,HFC,10,7871.220159,39.43611214,-121.6369921
309,NA,HFC,10,6596.473693,39.43573929,-121.6364808
310,NA,HFC,10,10625.97373,39.43568578,-121.6361581
311,NA,HFC,10,5290.433137,39.43593017,-121.6359328
312,NA,HFC,10,7168.912338,39.43403164,-121.6363584
313,NA,HFC,10,12631.56259,39.43434732,-121.6361792
314,NA,HFC,10,16660.87251,39.4337545,-121.6352269
315,NA,HFC,10,7999.430779,39.43363141,-121.6347298
316,NA,HFC,10,7918.163177,39.43232425,-121.6339826
317,NA,HFC,10,14972.99951,39.43257454,-121.6336988
318,NA,HFC,10,5289.512282,39.43274607,-121.6332909
319,NA,HFC,10,4339.665055,39.43152947,-121.6326722
