date,sample_shape
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-30,box seine technique
1998-12-30,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-12-29,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
1998-11-25,box seine technique
