location,n_rows,sources,river_mile_site,river_mile,river_mile_site_id,match_method
G95 Downstream RL,8,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
GOOSE Riffle,16,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Gateway Riffle,27,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Gridley Boat Ramp,1111,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Gridley Pool,55,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Gridley Ramp,1,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Gridley Riffle,37,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
HATCHERY DITCH - bottom,116,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hatchery Ditch (Bottom),89,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hatchery Ditch(upper),12,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hatchery Riffle,372,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Herringer Side Channel,42,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Honcut Confluence,1,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hour Backwater,54,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hour Bar Side Channel (alternate),629,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hour Glide,306,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Hour Main RL - Downstream,437,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Junkyard Above RR,8,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Junkyard Main RR,98,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Junkyard Riffle,8,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Junkyard SC RR,68,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Junkyard side channel 1 - RL,95,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Junkyard side channel 1 - RR,129,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Live Oak Boat Ramp,2203,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Lower Hatchery ditch,63,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Lower MacFarland,112,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Lower McFarlan Main RL,101,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Lower Trailer Park Backwater RL,62,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
MacFarland,157,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Mathews Riffle,75,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
McFarland Backwater RR,362,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
McFarland Main RR - Upstream,189,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Montgomery Street (River Bend Park),1275,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Mulberry Beach RR - Downstream,129,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Old Thermalito,2,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Palm avenue access,4,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Pollywog Beach,30,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
Robinson's Riffle,25,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Robinson's Riffle Side Channel,5,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Shallow Riffle,29,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Shallow Riffle  (523),24,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Steep Backwater,307,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Steep Main RR - Downstream,358,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Steep Main RR - Upstream,293,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Steep Riffle Side Channel,5,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Steep side channel - Downstream,85,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Steep side channel - Upstream,400,"2008-2014, 2015-2025",NA,NA,NA,unresolved_not_in_subsite_table
Thermalito Boat Ramp,1310,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Trailer Park Riffle,106,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Unit 26A,16,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Upper Heringer,13,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Vance Avenue,16,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Vance Avenue Boat Ramp,491,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
Vance East Main RL,16,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Vance West RL - Upstream,83,2008-2014,NA,NA,NA,unresolved_not_in_subsite_table
Yuba City Boat Ramp,2204,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
bend backwater (562),17,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
between bend backwater and honcutt confluence(566),3,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
d/s end of big hole islands,21,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
gridley Boat launch side channel,33,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
"u/s end of bar complex, d/s of big hole islands",25,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
upper herringer (532),1,1997-2001,NA,NA,NA,unresolved_not_in_subsite_table
NA,42,2015-2025,NA,NA,NA,unresolved_not_in_subsite_table
